student_id,student_name,age,grade_level,teacher_name
1,Jamie Wardle,12,5th grade,Ali Pauncefort
2,Merci Etheredge,10,3rd grade,Alano Stearn
3,Kora Colin,6,3rd grade,Henka Brabon
4,Doralyn Barnwall,17,5th grade,Gwenni Forgan
5,Hedy Mungham,6,4th grade,Darius Dignum
6,Barbette Trustey,16,3rd grade,Frederique Coombs
7,Eberto Luxon,11,1st grade,Colby Trase
8,Omero Castellani,5,1st grade,Zackariah Voyce
9,Ferdy Darte,15,5th grade,Maible Baxstair
10,Inez Nussgen,12,1st grade,Lucie Crampsy
11,Joan Zappel,10,1st grade,Adolphe Plant
12,Theodoric Kimberley,6,3rd grade,Veradis Imason
13,Pia Bendson,13,2nd grade,Grove Eggleton
14,Stillmann Dybald,5,5th grade,Sasha Withringten
15,Meier Tombs,9,2nd grade,Willamina Blaiklock
16,Ysabel Dudgeon,8,3rd grade,Brendon McEllen
17,Sibella Hiers,15,2nd grade,Manuel Murrhardt
18,Gwen Jeenes,8,4th grade,Abbey Fairlamb
19,Matthus Tuxill,8,5th grade,Estrellita Hollyer
20,Inna Rossin,6,4th grade,Stormy Merrywether
21,Stefanie MacMillan,18,3rd grade,Janenna Davitti
22,Prescott Josefsen,18,2nd grade,Randolf Sinnatt
23,Odell Vasilik,14,4th grade,Clea Cristofolo
24,Gradeigh Dryden,18,4th grade,Jobey McKeever
25,Lyle Lynch,8,3rd grade,Silvano Flecknell
26,Egor Allder,6,5th grade,Ethyl Skala
27,Ranee Fishley,13,5th grade,Ailbert Bellham
28,Peri Bulger,9,3rd grade,Jodee Danelut
29,Tony Jzhakov,17,1st grade,Cordie Braunter
30,Shelbi Crimes,5,3rd grade,Vevay Seeds
31,Keri Stanett,12,4th grade,Elana Ayrton
32,Nananne Wessel,6,2nd grade,Portie Sturte
33,Tallia O' Kelleher,8,5th grade,Kellsie Robinson
34,Kathlin McGiveen,6,3rd grade,Maryanne Edsell
35,Dionisio Cuss,8,3rd grade,Darnall Berryman
36,Nevil Mitcham,9,5th grade,Tomas Dubs
37,Claudius Guise,6,2nd grade,Janaye Quesne
38,Cyndia Grestye,7,3rd grade,Gannie Crennan
39,Gery Bogue,11,5th grade,Cully Wace
